,train_acc,train_loss,val_acc,val_loss
0,,0.6847305297851562,,
1,,0.7276514768600464,,
2,,0.7059458494186401,,
3,,0.6863598227500916,,
4,,0.6572360396385193,,
5,,0.6739489436149597,,
6,,0.7181969285011292,,
7,,0.7062790393829346,,
8,,0.6305825114250183,,
9,,0.6804354190826416,,
10,,0.6409293413162231,,
11,,0.6741243004798889,,
12,,0.6424252390861511,,
13,,0.6421542167663574,,
14,,0.6716732382774353,,
15,,0.6260709762573242,,
16,,0.6188757419586182,,
17,,0.7377458214759827,,
18,,0.5885202288627625,,
19,,0.626976728439331,,
20,,0.6233166456222534,,
21,,0.6008630990982056,,
22,,0.6473809480667114,,
23,,0.603218138217926,,
24,,0.6037912368774414,,
25,,0.592896044254303,,
26,,0.6269792914390564,,
27,,0.6625457406044006,,
28,,0.621566116809845,,
29,,0.6130731701850891,,
30,,0.5876893401145935,,
31,,0.5743870735168457,,
32,,0.6815366744995117,,
33,,0.6465158462524414,,
34,,0.6059929728507996,,
35,,0.547458827495575,,
36,,0.5380493998527527,,
37,,0.5774454474449158,,
38,,0.5457891821861267,,
39,,0.5762594938278198,,
40,,0.670159637928009,,
41,,0.5404601097106934,,
42,,0.6276296973228455,,
43,,0.5842326283454895,,
44,,0.6304660439491272,,
45,,0.5462234616279602,,
46,,0.48634135723114014,,
47,,0.5388167500495911,,
48,,0.5633500814437866,,
49,,0.5888327360153198,,
50,,0.651159405708313,,
51,,0.5787608027458191,,
52,,0.6656585931777954,,
53,,0.5516968965530396,,
54,,0.484383761882782,,
55,,0.633450984954834,,
56,,0.6094932556152344,,
57,,0.5751292705535889,,
58,,0.5830072164535522,,
59,,0.6247894763946533,,
60,,0.4540812075138092,,
61,0.6520951888256595,0.6164875484880854,0.7370600414078675,0.5167713891714811
62,,0.5067360997200012,,
63,,0.5019229650497437,,
64,,0.51641845703125,,
65,,0.6596675515174866,,
66,,0.5101711750030518,,
67,,0.44030600786209106,,
68,,0.48508355021476746,,
69,,0.5886349081993103,,
70,,0.5098877549171448,,
71,,0.47980040311813354,,
72,,0.519727885723114,,
73,,0.5961902141571045,,
74,,0.509845495223999,,
75,,0.46480271220207214,,
76,,0.5315176844596863,,
77,,0.40186166763305664,,
78,,0.5534716844558716,,
79,,0.5506564974784851,,
80,,0.5530994534492493,,
81,,0.6159776449203491,,
82,,0.4769580662250519,,
83,,0.45332035422325134,,
84,,0.41738995909690857,,
85,,0.44242098927497864,,
86,,0.4144078493118286,,
87,,0.4914965033531189,,
88,,0.4915944039821625,,
89,,0.4821576774120331,,
90,,0.6355224847793579,,
91,,0.5011214017868042,,
92,,0.4147307574748993,,
93,,0.5181077718734741,,
94,,0.4217798709869385,,
95,,0.48879772424697876,,
96,,0.5474836826324463,,
97,,0.5211050510406494,,
98,,0.4256906807422638,,
99,,0.550643801689148,,
100,,0.4066532552242279,,
101,,0.501897394657135,,
102,,0.40124189853668213,,
103,,0.5645890831947327,,
104,,0.5923491716384888,,
105,,0.43740254640579224,,
106,,0.4873555302619934,,
107,,0.5288234353065491,,
108,,0.46432778239250183,,
109,,0.47458553314208984,,
110,,0.44903242588043213,,
111,,0.4678885340690613,,
112,,0.5494034886360168,,
113,,0.5564085245132446,,
114,,0.4835285246372223,,
115,,0.4689241349697113,,
116,,0.5235124826431274,,
117,,0.4748667776584625,,
118,,0.6057147979736328,,
119,,0.5223731398582458,,
120,,0.45016226172447205,,
121,,0.5187370777130127,,
122,,0.5545619130134583,,
123,0.7537506466632178,0.5028663697789927,0.7587991718426501,0.4969564415514469
124,,0.45046472549438477,,
125,,0.3949195444583893,,
126,,0.5348532199859619,,
127,,0.4475766122341156,,
128,,0.4460606575012207,,
129,,0.5242853760719299,,
130,,0.5007550716400146,,
131,,0.41885802149772644,,
132,,0.4758012592792511,,
133,,0.44629475474357605,,
134,,0.5194747447967529,,
135,,0.5164529085159302,,
136,,0.37292712926864624,,
137,,0.44907844066619873,,
138,,0.5537425875663757,,
139,,0.3370334208011627,,
140,,0.41926488280296326,,
141,,0.44134485721588135,,
142,,0.3282673954963684,,
143,,0.43399256467819214,,
144,,0.4376995861530304,,
145,,0.4171471893787384,,
146,,0.4131174683570862,,
147,,0.43530192971229553,,
148,,0.5579857230186462,,
149,,0.4613037407398224,,
150,,0.48687881231307983,,
151,,0.3614800274372101,,
152,,0.3665143847465515,,
153,,0.5405631065368652,,
154,,0.4933411777019501,,
155,,0.5461320877075195,,
156,,0.3490575850009918,,
157,,0.3734361231327057,,
158,,0.413203626871109,,
159,,0.4023090898990631,,
160,,0.4901558756828308,,
161,,0.43222272396087646,,
162,,0.5423605442047119,,
163,,0.49669408798217773,,
164,,0.37562355399131775,,
165,,0.5671592950820923,,
166,,0.37568768858909607,,
167,,0.3758268356323242,,
168,,0.44955527782440186,,
169,,0.5980172157287598,,
170,,0.5168893933296204,,
171,,0.4902794361114502,,
172,,0.4569935202598572,,
173,,0.5781083703041077,,
174,,0.3197677433490753,,
175,,0.4935428500175476,,
176,,0.425009161233902,,
177,,0.5777919888496399,,
178,,0.4161470830440521,,
179,,0.4342106282711029,,
180,,0.45596572756767273,,
181,,0.4570019841194153,,
182,,0.4585178792476654,,
183,,0.42614996433258057,,
184,,0.41407281160354614,,
185,0.7827211588204863,0.4539454339957628,0.7877846790890269,0.46124314703047276
186,,0.3148147463798523,,
187,,0.48744410276412964,,
188,,0.4537983536720276,,
189,,0.3392019271850586,,
190,,0.44281527400016785,,
191,,0.3627350926399231,,
192,,0.4751778542995453,,
193,,0.3744131922721863,,
194,,0.46339890360832214,,
195,,0.4334995746612549,,
196,,0.42562198638916016,,
197,,0.48971664905548096,,
198,,0.4452076256275177,,
199,,0.450343519449234,,
200,,0.4335619807243347,,
201,,0.49109840393066406,,
202,,0.4619453251361847,,
203,,0.2921414375305176,,
204,,0.35249465703964233,,
205,,0.43612170219421387,,
206,,0.36278223991394043,,
207,,0.37669074535369873,,
208,,0.35608160495758057,,
209,,0.39761000871658325,,
210,,0.5029302835464478,,
211,,0.5500946044921875,,
212,,0.4448252022266388,,
213,,0.4072083532810211,,
214,,0.45574846863746643,,
215,,0.4519646465778351,,
216,,0.44486385583877563,,
217,,0.42691105604171753,,
218,,0.46261611580848694,,
219,,0.4383024573326111,,
220,,0.44343051314353943,,
221,,0.4796295166015625,,
222,,0.3622657060623169,,
223,,0.46929699182510376,,
224,,0.49769365787506104,,
225,,0.34813034534454346,,
226,,0.2883358299732208,,
227,,0.37775853276252747,,
228,,0.3774634003639221,,
229,,0.5018936991691589,,
230,,0.4252035319805145,,
231,,0.3200477361679077,,
232,,0.3474093973636627,,
233,,0.34775102138519287,,
234,,0.5100743174552917,,
235,,0.3855954110622406,,
236,,0.4796246290206909,,
